
Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:49:05 2025
Timers Off: Thu Jul 10 15:49:38 2025

Wall Time:       33.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form C                          :      0.083u      0.000s      0.034w    438 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.000w      3 calls
Grad: S                             :      0.000u      0.000s      0.000w      3 calls
Grad: JK                            :      0.017u      0.017s      0.022w      3 calls
JKGrad: Amn                         :      0.000u      0.000s      0.004w      3 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      3 calls
JKGrad: AB                          :      0.000u      0.000s      0.005w      3 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      3 calls
JKGrad: ABx                         :      0.000u      0.000s      0.002w      3 calls
JKGrad: Amnx                        :      0.017u      0.000s      0.008w      3 calls
Grad: XC                            :      0.200u      0.000s      0.127w      3 calls
V_xc gradient                       :      0.050u      0.000s      0.047w   1186 calls
RV: Form Vx                         :      0.750u      0.033s      0.479w      8 calls
Derivative Properties               :      0.417u      0.017s      0.187w   7543 calls
V_XCd                               :      0.150u      0.000s      0.112w   7543 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.600u      0.017s      0.360w     68 calls
| build grid                        :      0.533u      0.000s      0.189w     68 calls
| post-process grid                 :      0.067u      0.017s      0.169w     68 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.064w     68 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.033w     68 calls
DFH: initialize()                   :      0.733u      0.017s      0.238w     68 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.030w    136 calls
| DFH: AO Construction              :      0.100u      0.000s      0.030w     68 calls
| DFH: AO-Met. Contraction          :      0.133u      0.000s      0.041w     68 calls
HF: Form core H                     :      0.050u      0.017s      0.020w     68 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     68 calls
HF: Guess                           :      0.517u      0.150s      0.515w     68 calls
| SAD Guess                         :      0.400u      0.150s      0.495w     64 calls
HF: Form G                          :     16.517u      0.817s      9.790w    502 calls
| RV: Form V                        :     16.267u      0.817s      9.546w    491 calls
| | Properties                      :      4.517u      0.100s      2.605w 194157 calls
| | Functional                      :      6.817u      0.233s      3.881w 194157 calls
| | V_xc                            :      4.650u      0.200s      2.673w 194157 calls
| JK: D                             :      0.000u      0.000s      0.001w    502 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w    502 calls
| JK: JK                            :      0.083u      0.000s      0.115w    502 calls
| | DFH: compute_JK()               :      0.083u      0.000s      0.114w    502 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    502 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.007w    502 calls
| | | DFH: compute_K                :      0.083u      0.000s      0.098w    502 calls
| JK: AO2USO                        :      0.000u      0.000s      0.004w    502 calls
| UV: Form V                        :      0.133u      0.000s      0.096w     11 calls
| | Properties                      :      0.050u      0.000s      0.026w   2311 calls
| | Functional                      :      0.033u      0.000s      0.036w   2311 calls
| | V_xc                            :      0.050u      0.000s      0.029w   2311 calls
HF: Form F                          :      0.000u      0.000s      0.001w    502 calls
HF: Form D                          :      0.000u      0.000s      0.001w    502 calls
HF: DIIS                            :      0.383u      0.200s      0.564w    438 calls
HF: Form C                          :      0.083u      0.000s      0.034w    438 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.000w      3 calls
Grad: S                             :      0.000u      0.000s      0.000w      3 calls
Grad: JK                            :      0.017u      0.017s      0.022w      3 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.004w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      3 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      3 calls
| JKGrad: AB                        :      0.000u      0.000s      0.005w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      3 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.002w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: Amnx                      :      0.017u      0.000s      0.008w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w      3 calls
Grad: XC                            :      0.200u      0.000s      0.127w      3 calls
| Properties                        :      0.117u      0.000s      0.053w   1186 calls
| Functional                        :      0.017u      0.000s      0.023w   1186 calls
| V_xc gradient                     :      0.050u      0.000s      0.047w   1186 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.017u      0.000s      0.006w      8 calls
| DFH: compute_JK()                 :      0.017u      0.000s      0.006w      8 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w      8 calls
| | DFH: compute_J                  :      0.017u      0.000s      0.000w      8 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.005w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
RV: Form Vx                         :      0.750u      0.033s      0.479w      8 calls
| Properties                        :      0.117u      0.000s      0.093w   3176 calls
| Functional                        :      0.067u      0.000s      0.071w   3176 calls
| Derivative Properties             :      0.417u      0.017s      0.187w   7543 calls
| V_XCd                             :      0.150u      0.000s      0.112w   7543 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:56:38 2025
Timers Off: Thu Jul 10 15:56:56 2025

Wall Time:       18.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.250u      0.000s      0.172w     25 calls
build grid                          :      0.117u      0.000s      0.098w     25 calls
post-process grid                   :      0.133u      0.000s      0.073w     25 calls
DFH: sparsity prep                  :      0.450u      0.067s      0.320w     25 calls
Libint2ERI::Libint2ERI              :      0.633u      0.100s      0.429w     75 calls
DFH: initialize()                   :      0.617u      0.050s      0.413w     25 calls
DFH: AO Construction                :      0.033u      0.000s      0.062w     25 calls
DFH: AO-Met. Contraction            :      0.150u      0.000s      0.044w     25 calls
HF: Form core H                     :      0.050u      0.017s      0.009w     25 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     25 calls
HF: Guess                           :      0.800u      0.150s      0.594w     25 calls
SAD Guess                           :      0.800u      0.150s      0.586w     25 calls
HF: Form G                          :      8.467u      0.417s      5.380w    231 calls
RV: Form V                          :      8.233u      0.417s      5.254w    231 calls
Properties                          :      5.383u      0.117s      3.433w 137324 calls
Functional                          :      4.633u      0.017s      2.810w 137324 calls
V_xc                                :      2.967u      0.083s      1.657w  92819 calls
JK: D                               :      0.000u      0.000s      0.001w    342 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    342 calls
JK: JK                              :      0.600u      0.017s      0.280w    342 calls
DFH: compute_JK()                   :      0.600u      0.017s      0.280w    342 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    342 calls
DFH: compute_J                      :      0.050u      0.000s      0.017w    342 calls
DFH: compute_K                      :      0.533u      0.000s      0.253w    342 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    342 calls
HF: Form F                          :      0.000u      0.000s      0.000w    231 calls
HF: Form D                          :      0.000u      0.000s      0.000w    231 calls
HF: DIIS                            :      0.217u      0.050s      0.193w    206 calls
HF: Form C                          :      0.033u      0.000s      0.021w    206 calls
RV: Form Vx                         :     13.933u      0.417s      8.676w    111 calls
Derivative Properties               :      5.900u      0.067s      3.602w 109070 calls
V_XCd                               :      3.083u      0.067s      2.017w 109070 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.250u      0.000s      0.172w     25 calls
| build grid                        :      0.117u      0.000s      0.098w     25 calls
| post-process grid                 :      0.133u      0.000s      0.073w     25 calls
DFH: sparsity prep                  :      0.450u      0.067s      0.320w     25 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.067s      0.224w     25 calls
DFH: initialize()                   :      0.617u      0.050s      0.413w     25 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.033s      0.205w     50 calls
| DFH: AO Construction              :      0.033u      0.000s      0.062w     25 calls
| DFH: AO-Met. Contraction          :      0.150u      0.000s      0.044w     25 calls
HF: Form core H                     :      0.050u      0.017s      0.009w     25 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     25 calls
HF: Guess                           :      0.800u      0.150s      0.594w     25 calls
| SAD Guess                         :      0.800u      0.150s      0.586w     25 calls
HF: Form G                          :      8.467u      0.417s      5.380w    231 calls
| RV: Form V                        :      8.233u      0.417s      5.254w    231 calls
| | Properties                      :      2.550u      0.050s      1.567w  92819 calls
| | Functional                      :      2.667u      0.017s      1.848w  92819 calls
| | V_xc                            :      2.967u      0.083s      1.657w  92819 calls
| JK: D                             :      0.000u      0.000s      0.000w    231 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    231 calls
| JK: JK                            :      0.233u      0.000s      0.123w    231 calls
| | DFH: compute_JK()               :      0.233u      0.000s      0.123w    231 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    231 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    231 calls
| | | DFH: compute_K                :      0.217u      0.000s      0.114w    231 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    231 calls
HF: Form F                          :      0.000u      0.000s      0.000w    231 calls
HF: Form D                          :      0.000u      0.000s      0.000w    231 calls
HF: DIIS                            :      0.217u      0.050s      0.193w    206 calls
HF: Form C                          :      0.033u      0.000s      0.021w    206 calls
JK: D                               :      0.000u      0.000s      0.000w    111 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    111 calls
JK: JK                              :      0.367u      0.017s      0.157w    111 calls
| DFH: compute_JK()                 :      0.367u      0.017s      0.157w    111 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w    111 calls
| | DFH: compute_J                  :      0.050u      0.000s      0.010w    111 calls
| | DFH: compute_K                  :      0.317u      0.000s      0.140w    111 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    111 calls
RV: Form Vx                         :     13.933u      0.417s      8.676w    111 calls
| Properties                        :      2.833u      0.067s      1.865w  44505 calls
| Functional                        :      1.967u      0.000s      0.962w  44505 calls
| Derivative Properties             :      5.900u      0.067s      3.602w 109070 calls
| V_XCd                             :      3.083u      0.067s      2.017w 109070 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:57:29 2025
Timers Off: Thu Jul 10 15:57:30 2025

Wall Time:        1.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.267u      0.017s      0.134w      2 calls
Libint2ERI::Libint2ERI              :      0.167u      0.033s      0.070w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.067u      0.017s      0.048w      2 calls
SAD Guess                           :      0.067u      0.017s      0.047w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     22 calls
JK: D                               :      0.000u      0.000s      0.000w     22 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     22 calls
JK: JK                              :      0.000u      0.000s      0.001w     22 calls
PK computes JK                      :      0.000u      0.000s      0.001w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      0.000u      0.000s      0.000w     22 calls
HF: Form D                          :      0.000u      0.000s      0.000w     22 calls
HF: DIIS                            :      0.183u      0.050s      0.134w     20 calls
HF: Form C                          :      0.000u      0.000s      0.002w     20 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.267u      0.017s      0.134w      2 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.042w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.067u      0.017s      0.048w      2 calls
| SAD Guess                         :      0.067u      0.017s      0.047w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     22 calls
| JK: D                             :      0.000u      0.000s      0.000w     22 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     22 calls
| JK: JK                            :      0.000u      0.000s      0.001w     22 calls
| | PK computes JK                  :      0.000u      0.000s      0.001w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      0.000u      0.000s      0.000w     22 calls
HF: Form D                          :      0.000u      0.000s      0.000w     22 calls
HF: DIIS                            :      0.183u      0.050s      0.134w     20 calls
HF: Form C                          :      0.000u      0.000s      0.002w     20 calls
Libint2ERI::Libint2ERI              :      0.050u      0.017s      0.028w      3 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:57:31 2025
Timers Off: Thu Jul 10 15:57:32 2025

Wall Time:        0.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.001w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.007w      1 calls
SAD Guess                           :      0.017u      0.000s      0.007w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.000w      8 calls
PK computes JK                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.217u      0.050s      0.126w      7 calls
HF: Form C                          :      0.000u      0.000s      0.001w      7 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.000s      0.001w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.007w      1 calls
| SAD Guess                         :      0.017u      0.000s      0.007w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.000w      8 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.217u      0.050s      0.126w      7 calls
HF: Form C                          :      0.000u      0.000s      0.001w      7 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      2 calls

**************************************************************************************
